Year,Date,Neural Activity (+%),Control (seconds),Resilience (p),Score,Duration (minutes)
2022,10/15,29,72,2951,65,5
2022,11/5,12,21,567,69,3
2022,11/6,23,57,1419,76,3
2022,11/7,32,28,1952,79,3
2022,11/9,49,32,3050,82,3
2022,11/10,17,32,1006,76,3
2022,11/11,26,58,1670,82,3
2022,11/13,20,53,997,80,3
2022,11/16,16,18,704,76,3
2022,11/19,32,55,1832,86,3
2022,11/21,24,23,1490,78,3
2022,11/23,22,22,1352,78,3
2022,11/24,18,22,923,78,3
2022,11/28,28,17,1551,80,3
2022,12/1,13,31,612,77,3
2022,12/5,41,67,4513,89,5
2022,12/7,22,29,1913,81,5
2022,12/12,41,62,4305,88,5
2023,1/2,23,28,1737,71,5
2023,1/6,30,62,2993,81,5
2023,1/8,53,69,5236,86,5
2023,1/11,36,60,3577,85,5
2023,1/13,39,22,3750,82,5
2023,1/16,89,73,9702,89,5
2023,1/20,10,17,518,73,5
2023,1/30,24,27,2201,77,5
2023,2/2,15,20,1405,75,5
2023,2/6,27,32,2767,80,5
2023,2/9,29,24,2495,81,5
2023,2/12,14,25,1297,75,5
2023,2/13,30,62,2521,86,5
2023,2/16,37,23,3382,83,5
2023,2/19,8,13,567,74,5
2023,2/21,7,17,358,74,5
2023,2/23,45,35,4848,88,5
2023,3/7,27,19,2975,79,5
2023,3/10,12,28,506,74,5
2023,3/14,16,20,1481,74,5
2023,3/17,22,30,1886,78,5
2023,3/21,15,28,1426,74,5
2023,3/24,30,18,2258,79,5
2023,3/28,52,85,5868,88,5
2023,3/31,7,14,624,73,5
2023,4/2,35,52,3332,88,5
2023,4/4,66,83,7349,91,5
2023,4/7,42,33,4194,86,5
2023,4/11,30,48,3095,86,5
2023,4/14,13,21,1412,75,5
2023,4/17,25,24,574,77,5
2023,4/18,15,17,709,76,5
2023,4/21,29,30,3183,84,5
2023,4/24,10,23,648,76,5
2023,4/27,40,46,4582,89,5
2023,4/28,68,50,7652,91,5
2023,4/30,43,14,2173,84,5
2023,5/2,44,40,5065,90,5
2023,5/5,60,61,7141,91,5
2023,5/8,41,21,4290,86,5
2023,5/9,55,41,5406,90,5
2023,5/12,42,49,4452,90,5
2023,5/15,21,20,2249,81,5
2023,5/16,43,39,4284,89,5
2023,5/19,53,55,5439,91,5
2023,5/22,14,18,903,77,5
2023,5/23,47,44,5114,90,5
2023,5/28,23,32,1134,78,5
2023,5/30,41,49,4643,88,5
2023,6/1,12,23,1221,77,5
2023,6/6,40,32,4040,85,5
2023,6/9,15,20,1516,76,5
2023,6/12,47,39,5071,88,5
2023,6/16,34,41,2994,86,5
2023,6/19,36,32,3672,84,5
2023,6/26,19,16,1370,73,5
2023,6/27,42,47,4507,87,5
2023,7/1,29,50,2822,86,5
2023,7/2,13,21,1247,77,5
2023,7/4,34,49,3512,87,5
2023,7/7,48,92,5303,90,5
2023,7/9,31,70,3506,88,5
2023,7/11,12,29,725,76,5
2023,7/14,12,21,936,76,5
2023,7/17,28,53,2590,87,5
2023,7/18,14,22,1328,77,5
2023,7/21,39,34,4146,88,5
2023,7/24,38,103,3995,90,5
2023,7/26,40,33,4484,87,5
2023,7/28,15,25,1072,78,5
2023,7/31,35,42,3626,88,5
2023,8/1,52,67,4963,91,5
2023,8/4,37,34,3883,88,5
2023,8/7,37,21,4080,85,5
2023,8/9,6,8,369,74,5
2023,8/11,35,20,3399,85,5
2023,8/15,52,35,5609,89,5
2023,8/17,52,25,5456,87,5
2023,8/18,38,51,4174,89,5
2023,8/22,19,11,2002,80,5
2023,8/25,27,53,2871,86,5
2023,8/27,37,42,3913,89,5
2023,8/28,25,22,2281,82,5
2023,8/29,41,25,4331,87,5
2023,9/1,16,36,1590,81,5
2023,9/4,55,41,6370,90,5
2023,9/5,39,59,3604,90,5
2023,9/8,46,19,4868,86,5
2023,9/11,19,19,1589,78,5
2023,9/12,39,24,3971,86,5
2023,9/15,38,46,3744,89,5
2023,9/18,27,25,3118,84,5
2023,9/19,50,24,5294,87,5
2023,9/22,32,29,3657,86,5
2023,9/25,26,50,2455,85,5
2023,9/26,31,27,3219,85,5
2023,10/3,33,45,2666,85,5
2023,10/6,41,56,4083,88,5
2023,10/9,31,81,3838,89,5
2023,10/12,11,13,869,75,5
2023,10/13,34,5,3477,88,5
2023,10/15,34,48,3570,89,5
2023,10/17,24,39,2523,84,5
2023,10/20,7,7,401,73,5
2023,10/23,38,43,3600,88,5
2023,10/24,48,47,4890,89,5
2023,10/27,46,21,4968,86,5
2023,10/30,42,66,4493,90,5
2023,10/31,18,26,1542,78,5
2023,11/4,18,45,1360,81,5
2023,11/7,30,57,2776,87,5
2023,11/10,25,19,2572,81,5
2023,11/13,29,73,3153,88,5
2023,11/14,27,12,2954,82,5
2023,11/17,30,31,3200,84,5
2023,11/19,32,59,3691,90,5
2023,11/21,14,22,843,77,5
2023,11/28,42,46,3982,86,5
2023,12/1,44,72,4190,89,5
2023,12/3,21,40,2084,83,5
2023,12/7,40,96,4456,90,5
2023,12/8,24,32,1983,80,5
2023,12/12,43,58,4882,89,5
2023,12/14,20,28,1705,78,5
2023,12/15,20,40,2048,83,5
2023,12/18,39,99,3619,90,5
2023,12/19,29,35,3330,86,5
2023,12/22,16,31,1507,78,5
2023,12/24,26,20,2184,82,5
2023,12/26,27,36,2658,86,5
